team,name,pos,level,age
ARI,Junsang Eom,SS,,18
ATH,Corey Avant,RHP,,24
ATH,Ricky Duran,SS,,17
ATL,Cedric De Grandpre,RHP,,24
ATL,Starlyn De La Cruz,OF,,17
BAL,Caden Hunter,LHP,,22
BAL,Yeiber Cartaya,RHP,,23
BAL,DJ Layton,SS/3B,,19
BOS,Franklin Primera,C/1B,,18
CHC,Eli Jerzembeck,RHP,,22
CHC,Nick Dean,RHP,,25
CHC,Will Sanders,RHP,,24
CHW,Pierce George,RHP,,22
CIN,Ovis Portes,RHP,,21
CIN,Ryjeteri Merite,LHP,,20
CLE,Alejandro Rivera,RHP,,19
DET,Manuel Bolivar,C,,17
DET,Ryan Hall,RHP,,19
DET,Angel De Los Santos,SS,,18
HOU,Juan Fraide,RHP,,20
HOU,Brandon McPherson,RHP,,26
KC,Corey Cousin,OF,,19
KC,LP Langevin,RHP,,22
LAD,Aidan West,SS,,19
MIA,Keyner Benitez,LHP,,19
MIA,Eliazar Dishmey,RHP,,21
MIL,Handelfry Encarnacion,OF,,18
MIN,Jhomnardo Reyes,OF,,18
MIN,Enmanuel Merlo,SS,,17
NYM,Nicolas Carreno,LHP,,19
NYM,Jose Chirinos,RHP,,21
NYY,Wilberson De Pena,OF,,19
NYY,Ben Grable,RHP,,24
NYY,Chien-Fan Lai,RHP,,18
PHI,Brad Pacheco,RHP,,20
PIT,Jesus Travieso,RHP,,19
SD,Jose Verdugo,SS/2B,,18
SD,Winyer Chourio,RHP,,22
SEA,Gregory Pio,OF,,17
SF,Matt Wilkinson,LHP,,24
SF,Cesar Perdomo,LHP,,24
STL,Sebastian Dos Santos,SS,,18
STL,Xavier Cruz,RHP,,20
TEX,Daniel Rodriguez,SS/3B,,18
TOR,Holden Wilkerson,RHP,,22
TOR,Miguel Pantoja,RHP,,18
TOR,Austin Cates,RHP,,22
PIT,Connor Wietgrefe,LHP,,23
